"As únicas reformas que o PT apoia é a reforma do sítio e do triplex do Lula chora mais esquerdalhas #ReformaDe1Trilhao #ReformaVoteSim #ReformaJusta #ReformaVoteSim #EuApoioaNovaPrevidência #NovaPrevidenciaJa #NovaPrevidencia","2019-07-10T22:12:10.000Z"
"Que fique registrado o que eu acredito!
A aprovação da Nova Previdência é uma grande responsabilidade com o BRASIL, com as finanças do país, com as futuras gerações.
Estamos na fase decisiva e não vamos desistir!


(link: https://youtu.be/r8hOv0WX0jA) 
youtu.be/r8hOv0WX0jA

#PrevidenciaSim 
#EuApoioANovaPrevidência","2019-07-10T21:13:34.000Z"
"@ArthurLira_
 infeliz seu discurso se a câmara está sendo criticada e porq deram motivo!! #euapoioaNovaPrevidencia","2019-07-10T21:12:35.000Z"
"O seu cú que é nefasto 
#EuApoioANovaPrevidência 
#ReformaVoteSim 
#BrasilPatriaAmada 
#BolsonaroAte2026 
#Ptnuncamais 
#lulaéladrão 
#LulaCriminoso 
#Bolsonaromeupresidete","2019-07-10T21:11:29.000Z"
"Povo pode bandido não !!  Vai depredar a casa saquear as carteiras!! #euapoioaNovaPrevidencia","2019-07-10T21:07:27.000Z"
"Chora babaca perdeu babaca #euapoioaNovaPrevidencia","2019-07-10T21:06:11.000Z"
"Isso é formacao de quadrilha!! Isso é atraso do Brasil 
 #euapoioaNovaPrevidencia","2019-07-10T21:05:09.000Z"
"Essa Marina é uma retarda, e trata os cidadãos deste país, como retardados também, se ela não é a favor da reforma, como ja era esperado, é contra o Brasil, mas ficar falando asneiras, ai ja é mal caratismo #EuApoioANovaPrevidência 
#Bolsonaromeupresidete","2019-07-10T21:04:42.000Z"
"Muito bem lembrado 
#euApoioaNovaPrevidência 
#reformaja
#NovaPrevidência","2019-07-10T20:35:50.000Z"
"#euapoioanovaprevidencia","2019-07-10T19:21:35.000Z"
"Os áudios já caíram, são fakes. #EuApoioANovaPrevidência","2019-07-10T19:16:51.000Z"
